"Sample" "Value" "Quality" "source" "Group" "Metric"
"1" "Quartet" 37.0385663619989 "Q30" "D5_1_ILM_R1.10G" "DNA" "Duplication (%)"
"2" "Quartet" 35.5773467504625 "Q30" "D5_1_ILM_R2.10G" "DNA" "Duplication (%)"
"5" "Quartet" 15.6772165119228 "Q40" "D5_1_R1.10G" "DNA" "Duplication (%)"
"6" "Quartet" 14.5518506036847 "Q40" "D5_1_R2.10G" "DNA" "Duplication (%)"
"7" "Quartet" 36.0217810112586 "Q30" "D5_2_ILM_R1.10G" "DNA" "Duplication (%)"
"8" "Quartet" 33.3727641269119 "Q30" "D5_2_ILM_R2.10G" "DNA" "Duplication (%)"
"11" "Quartet" 15.5457528727238 "Q40" "D5_2_R1.10G" "DNA" "Duplication (%)"
"12" "Quartet" 15.0681520791966 "Q40" "D5_2_R2.10G" "DNA" "Duplication (%)"
"13" "Quartet" 35.1345704125194 "Q30" "D5_3_ILM_R1.10G" "DNA" "Duplication (%)"
"14" "Quartet" 32.1448243958536 "Q30" "D5_3_ILM_R2.10G" "DNA" "Duplication (%)"
"17" "Quartet" 15.6736190943689 "Q40" "D5_3_R1.10G" "DNA" "Duplication (%)"
"18" "Quartet" 14.7379720228914 "Q40" "D5_3_R2.10G" "DNA" "Duplication (%)"
"19" "Quartet" 34.894668566247 "Q30" "D6_1_ILM_R1.10G" "DNA" "Duplication (%)"
"20" "Quartet" 33.0651632749873 "Q30" "D6_1_ILM_R2.10G" "DNA" "Duplication (%)"
"23" "Quartet" 15.2280536568849 "Q40" "D6_1_R1.10G" "DNA" "Duplication (%)"
"24" "Quartet" 14.5248317539275 "Q40" "D6_1_R2.10G" "DNA" "Duplication (%)"
"25" "Quartet" 36.1539327173356 "Q30" "D6_2_ILM_R1.10G" "DNA" "Duplication (%)"
"26" "Quartet" 32.8288945957763 "Q30" "D6_2_ILM_R2.10G" "DNA" "Duplication (%)"
"29" "Quartet" 13.5833453388965 "Q40" "D6_2_R1.10G" "DNA" "Duplication (%)"
"30" "Quartet" 13.090687313181 "Q40" "D6_2_R2.10G" "DNA" "Duplication (%)"
"31" "Quartet" 36.022340274274 "Q30" "D6_3_ILM_R1.10G" "DNA" "Duplication (%)"
"32" "Quartet" 32.5407366138785 "Q30" "D6_3_ILM_R2.10G" "DNA" "Duplication (%)"
"35" "Quartet" 15.5088794473466 "Q40" "D6_3_R1.10G" "DNA" "Duplication (%)"
"36" "Quartet" 14.6399890438688 "Q40" "D6_3_R2.10G" "DNA" "Duplication (%)"
"37" "Quartet" 35.8079927793464 "Q30" "F7_1_ILM_R1.10G" "DNA" "Duplication (%)"
"38" "Quartet" 32.3433745704768 "Q30" "F7_1_ILM_R2.10G" "DNA" "Duplication (%)"
"41" "Quartet" 15.5394512378495 "Q40" "F7_1_R1.10G" "DNA" "Duplication (%)"
"42" "Quartet" 14.8828540746178 "Q40" "F7_1_R2.10G" "DNA" "Duplication (%)"
"43" "Quartet" 34.2832950703877 "Q30" "F7_2_ILM_R1.10G" "DNA" "Duplication (%)"
"44" "Quartet" 31.6439807167642 "Q30" "F7_2_ILM_R2.10G" "DNA" "Duplication (%)"
"47" "Quartet" 15.289874730689 "Q40" "F7_2_R1.10G" "DNA" "Duplication (%)"
"48" "Quartet" 14.5450650171652 "Q40" "F7_2_R2.10G" "DNA" "Duplication (%)"
"49" "Quartet" 35.1154201943805 "Q30" "F7_3_ILM_R1.10G" "DNA" "Duplication (%)"
"50" "Quartet" 32.5253504651968 "Q30" "F7_3_ILM_R2.10G" "DNA" "Duplication (%)"
"53" "Quartet" 15.9796399029565 "Q40" "F7_3_R1.10G" "DNA" "Duplication (%)"
"54" "Quartet" 15.176242008779 "Q40" "F7_3_R2.10G" "DNA" "Duplication (%)"
"55" "HCC1395/BL" 35.2608598112408 "Q30" "HCC1395BL_1_ILM_R1.10G" "DNA" "Duplication (%)"
"56" "HCC1395/BL" 32.8589230336444 "Q30" "HCC1395BL_1_ILM_R2.10G" "DNA" "Duplication (%)"
"59" "HCC1395/BL" 34.6971218744572 "Q30" "HCC1395BL_2_ILM_R1.10G" "DNA" "Duplication (%)"
"60" "HCC1395/BL" 32.1017823951855 "Q30" "HCC1395BL_2_ILM_R2.10G" "DNA" "Duplication (%)"
"63" "HCC1395/BL" 34.9741239677969 "Q30" "HCC1395BL_3_ILM_R1.10G" "DNA" "Duplication (%)"
"64" "HCC1395/BL" 32.9671690110331 "Q30" "HCC1395BL_3_ILM_R2.10G" "DNA" "Duplication (%)"
